ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
mktx,0001278021,2020-02-18,2019-12-31,2019-02-20,2018-12-31,2020-05-01,2020-03-31,2019-10-25,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
mar,0001048286,2020-02-27,2019-12-31,2019-03-01,2018-12-31,2020-05-11,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-10,2019-03-31,2018-11-06,2018-09-30,2018-08-07,2018-06-30
mmc,0000062709,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-01,2020-03-31,2019-10-30,2019-09-30,2019-08-02,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
mlm,0000916076,2020-02-21,2019-12-31,2019-02-25,2018-12-31,2020-05-05,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-11-07,2018-09-30,2018-07-27,2018-06-30
mas,0000062996,2020-02-11,2019-12-31,2019-02-07,2018-12-31,2020-04-29,2020-03-31,2019-10-30,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
ma,0001141391,2020-02-14,2019-12-31,2019-02-13,2018-12-31,2020-04-29,2020-03-31,2019-10-29,2019-09-30,2019-07-30,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-07-26,2018-06-30
mkc,0000063754,2020-01-28,2019-11-30,2019-01-25,2018-11-30,2020-03-31,2020-02-29,2019-10-01,2019-08-31,2019-06-28,2019-05-31,2019-03-26,2019-02-28,2018-09-27,2018-08-31,2018-06-28,2018-05-31
mxim,0000743316,2019-08-21,2019-06-29,2018-08-17,2018-06-30,2020-04-29,2020-03-28,2020-01-29,2019-12-28,2019-10-30,2019-09-28,2019-05-01,2019-03-30,2019-02-01,2018-12-29,2018-11-01,2018-09-29
mcd,0000063908,2020-02-26,2019-12-31,2019-02-22,2018-12-31,2020-05-07,2020-03-31,2019-11-04,2019-09-30,2019-08-06,2019-06-30,2019-05-08,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
mck,0000927653,2020-05-22,2020-03-31,2019-05-15,2019-03-31,2020-02-04,2019-12-31,2019-10-30,2019-09-30,2019-08-01,2019-06-30,2019-01-31,2018-12-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
mdt,0001613103,2019-06-21,2019-04-26,2018-06-22,2018-04-27,2020-02-28,2020-01-24,2019-12-03,2019-10-25,2019-08-30,2019-07-26,2019-03-01,2019-01-25,2018-11-29,2018-10-26,2018-08-31,2018-07-27
mrk,0000310158,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-05-06,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-08,2019-03-31,2018-11-06,2018-09-30,2018-08-07,2018-06-30
met,0001099219,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-08,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-08,2019-03-31,2018-11-08,2018-09-30,2018-08-07,2018-06-30
mtd,0001037646,2020-02-07,2019-12-31,2019-02-08,2018-12-31,2020-05-08,2020-03-31,2019-11-08,2019-09-30,2019-08-02,2019-06-30,2019-05-10,2019-03-31,2018-11-09,2018-09-30,2018-07-27,2018-06-30
mgm,0000789570,2020-02-27,2019-12-31,2019-02-27,2018-12-31,2020-05-01,2020-03-31,2019-11-05,2019-09-30,2019-08-08,2019-06-30,2019-05-07,2019-03-31,2018-11-07,2018-09-30,2018-08-03,2018-06-30
mchp,0000827054,2020-05-22,2020-03-31,2019-05-30,2019-03-31,2020-02-04,2019-12-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-02-06,2018-12-31,2018-11-07,2018-09-30,2018-08-09,2018-06-30
mu,0000723125,2019-10-17,2019-08-29,2018-10-15,2018-08-30,2020-03-26,2020-02-27,2019-12-20,2019-11-28,2019-06-26,2019-05-30,2019-03-21,2019-02-28,2018-12-19,2018-11-29,2018-06-22,2018-05-31
msft,0000789019,2019-08-01,2019-06-30,2018-08-03,2018-06-30,2020-04-29,2020-03-31,2020-01-29,2019-12-31,2019-10-23,2019-09-30,2019-04-24,2019-03-31,2019-01-30,2018-12-31,2018-10-24,2018-09-30
maa,0000912595,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-07,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-03,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
mhk,0000851968,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-05,2020-03-28,2019-11-01,2019-09-28,2019-08-02,2019-06-29,2019-05-03,2019-03-30,2018-11-02,2018-09-29,2018-08-03,2018-06-30
tap,0000024545,2020-02-12,2019-12-31,2019-02-12,2018-12-31,2020-04-30,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-10-31,2018-09-30,2018-08-01,2018-06-30
mdlz,0001103982,2020-02-07,2019-12-31,2019-02-08,2018-12-31,2020-04-29,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-10-30,2018-09-30,2018-07-26,2018-06-30
mnst,0000865752,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-11,2020-03-31,2019-11-08,2019-09-30,2019-08-08,2019-06-30,2019-05-03,2019-03-31,2018-11-08,2018-09-30,2018-08-09,2018-06-30
mco,0001059556,2020-02-24,2019-12-31,2019-02-25,2018-12-31,2020-05-01,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-02,2019-03-31,2018-10-31,2018-09-30,2018-08-02,2018-06-30
ms,0000895421,2020-02-27,2019-12-31,2019-02-26,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-08-05,2019-06-30,2019-05-03,2019-03-31,2018-11-05,2018-09-30,2018-08-03,2018-06-30
mos,0001285785,2020-02-20,2019-12-31,2019-03-13,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-07,2018-06-30
msi,0000068505,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-08,2020-03-28,2019-10-31,2019-09-28,2019-08-02,2019-06-29,2019-05-03,2019-03-30,2018-11-02,2018-09-29,2018-08-03,2018-06-30
msci,0001408198,2020-02-18,2019-12-31,2019-02-22,2018-12-31,2020-04-29,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-03,2019-03-31,2018-11-02,2018-09-30,2018-08-03,2018-06-30
myl,0001623613,2020-02-28,2019-12-31,2019-02-27,2018-12-31,2020-05-11,2020-03-31,2019-11-05,2019-09-30,2019-07-29,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-08,2018-06-30
ndaq,0001120193,2020-02-25,2019-12-31,2019-02-22,2018-12-31,2020-05-06,2020-03-31,2019-11-06,2019-09-30,2019-08-05,2019-06-30,2019-05-01,2019-03-31,2018-11-06,2018-09-30,2018-08-01,2018-06-30
nov,0001021860,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-04-28,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
ntap,0001002047,2019-06-18,2019-04-26,2018-06-19,2018-04-27,2020-02-18,2020-01-24,2019-11-18,2019-10-25,2019-08-19,2019-07-26,2019-02-19,2019-01-25,2018-11-19,2018-10-26,2018-08-21,2018-07-27
nflx,0001065280,2020-01-29,2019-12-31,2019-01-29,2018-12-31,2020-04-21,2020-03-31,2019-10-18,2019-09-30,2019-07-19,2019-06-30,2019-04-18,2019-03-31,2018-10-18,2018-09-30,2018-07-18,2018-06-30
nwl,0000814453,2020-03-02,2019-12-31,2019-03-04,2018-12-31,2020-05-01,2020-03-31,2019-11-04,2019-09-30,2019-08-02,2019-06-30,2019-05-08,2019-03-31,2018-11-09,2018-09-30,2018-08-09,2018-06-30
nem,0001164727,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
nwsa,0001564708,2019-08-13,2019-06-30,2018-08-15,2018-06-30,2020-05-08,2020-03-31,2020-02-07,2019-12-31,2019-11-08,2019-09-30,2019-05-10,2019-03-31,2019-02-08,2018-12-31,2018-11-08,2018-09-30
nws,0001564708,2019-08-13,2019-06-30,2018-08-15,2018-06-30,2020-05-08,2020-03-31,2020-02-07,2019-12-31,2019-11-08,2019-09-30,2019-05-10,2019-03-31,2019-02-08,2018-12-31,2018-11-08,2018-09-30
nee,0000753308,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-04-23,2020-03-31,2019-10-23,2019-09-30,2019-07-24,2019-06-30,2019-04-23,2019-03-31,2018-10-23,2018-09-30,2018-07-25,2018-06-30
nlsn,0001492633,2020-02-27,2019-12-31,2019-02-28,2018-12-31,2020-04-30,2020-03-31,2019-11-07,2019-09-30,2019-07-31,2019-06-30,2019-04-30,2019-03-31,2018-10-25,2018-09-30,,
nke,0000320187,2019-07-23,2019-05-31,2018-07-25,2018-05-31,2020-04-07,2020-02-29,2020-01-07,2019-11-30,2019-10-04,2019-08-31,2019-04-04,2019-02-28,2019-01-08,2018-11-30,,
ni,0001111711,2020-02-28,2019-12-31,2019-02-20,2018-12-31,2020-05-06,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-11-01,2018-09-30,2018-08-01,2018-06-30
nbl,0000072207,2020-02-12,2019-12-31,2019-02-19,2018-12-31,2020-05-08,2020-03-31,2019-11-07,2019-09-30,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2018-11-01,2018-09-30,2018-08-03,2018-06-30
jwn,0000072333,2020-03-20,2020-02-01,2019-03-18,2019-02-02,2020-06-10,2020-05-02,2019-12-04,2019-11-02,2019-09-04,2019-08-03,2019-06-05,2019-05-04,2018-12-10,2018-11-03,2018-09-05,2018-08-04
nsc,0000702165,2020-02-06,2019-12-31,2019-02-08,2018-12-31,2020-04-29,2020-03-31,2019-10-23,2019-09-30,2019-07-24,2019-06-30,2019-04-24,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
ntrs,0000073124,2020-02-25,2019-12-31,2019-02-26,2018-12-31,2020-04-27,2020-03-31,2019-10-28,2019-09-30,2019-07-30,2019-06-30,2019-04-29,2019-03-31,2018-10-29,2018-09-30,2018-07-30,2018-06-30
noc,0001133421,2020-01-30,2019-12-31,2019-01-31,2018-12-31,2020-04-29,2020-03-31,2019-10-24,2019-09-30,2019-07-24,2019-06-30,2019-04-24,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
nlok,0000849399,2020-05-28,2020-04-03,2019-05-24,2019-03-29,2020-02-07,2020-01-03,2019-11-08,2019-10-04,2019-08-09,2019-07-05,2019-02-04,2018-12-28,2018-11-16,2018-09-28,2018-11-16,2018-06-29
nclh,0001513761,2020-02-27,2019-12-31,2019-02-27,2018-12-31,2020-05-15,2020-03-31,2019-11-08,2019-09-30,2019-08-08,2019-06-30,2019-05-10,2019-03-31,2018-11-09,2018-09-30,2018-08-09,2018-06-30
nrg,0001013871,2020-02-27,2019-12-31,2019-02-28,2018-12-31,2020-05-07,2020-03-31,2019-11-07,2019-09-30,2019-08-07,2019-06-30,2019-05-02,2019-03-31,2018-11-08,2018-09-30,2018-08-02,2018-06-30
nue,0000073309,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-13,2020-04-04,2019-11-06,2019-09-28,2019-08-07,2019-06-29,2019-05-08,2019-03-30,2018-11-07,2018-09-29,2018-08-08,2018-06-30
nvda,0001045810,2020-02-20,2020-01-26,2019-02-21,2019-01-27,2020-05-21,2020-04-26,2019-11-14,2019-10-27,2019-08-15,2019-07-28,2019-05-16,2019-04-28,2018-11-15,2018-10-28,2018-08-16,2018-07-29
nvr,0000906163,2020-02-19,2019-12-31,2019-02-13,2018-12-31,2020-05-07,2020-03-31,2019-11-01,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-10-31,2018-09-30,2018-07-30,2018-06-30
orly,0000898173,2020-02-28,2019-12-31,2019-02-27,2018-12-31,2020-05-08,2020-03-31,2019-11-06,2019-09-30,2019-08-08,2019-06-30,2019-05-06,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
oxy,0000797468,2020-02-28,2019-12-31,2019-02-21,2018-12-31,2020-05-06,2020-03-31,2019-11-04,2019-09-30,2019-07-31,2019-06-30,2019-05-06,2019-03-31,2018-11-05,2018-09-30,2018-08-08,2018-06-30
odfl,0000878927,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-05-05,2020-03-31,2019-11-04,2019-09-30,2019-08-07,2019-06-30,2019-05-07,2019-03-31,2018-11-05,2018-09-30,2018-08-07,2018-06-30
omc,0000029989,2020-02-11,2019-12-31,2019-02-12,2018-12-31,2020-04-28,2020-03-31,2019-10-15,2019-09-30,2019-07-17,2019-06-30,2019-04-16,2019-03-31,2018-10-16,2018-09-30,2018-07-17,2018-06-30
oke,0001039684,2020-02-25,2019-12-31,2019-02-26,2018-12-31,2020-04-29,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-10-31,2018-09-30,2018-08-01,2018-06-30
orcl,0001341439,2019-06-21,2019-05-31,2018-06-22,2018-05-31,2020-03-13,2020-02-29,2019-12-13,2019-11-30,2019-09-13,2019-08-31,2019-03-18,2019-02-28,2018-12-19,2018-11-30,2018-09-19,2018-08-31
otis,0001781335,,,,,2020-05-08,2020-03-31,,,,,,,,,,
pcar,0000075362,2020-02-19,2019-12-31,2019-02-21,2018-12-31,2020-05-04,2020-03-31,2019-10-30,2019-09-30,2019-08-02,2019-06-30,2019-05-02,2019-03-31,2018-11-02,2018-09-30,2018-08-03,2018-06-30
pkg,0000075677,2020-02-26,2019-12-31,2019-02-28,2018-12-31,2020-05-06,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-08,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
ph,0000076334,2019-08-23,2019-06-30,2018-08-24,2018-06-30,2020-05-06,2020-03-31,2020-02-05,2019-12-31,2019-11-06,2019-09-30,2019-05-09,2019-03-31,2019-02-07,2018-12-31,2018-11-07,2018-09-30
payx,0000723531,2019-07-24,2019-05-31,2018-07-20,2018-05-31,2020-03-27,2020-02-29,2019-12-20,2019-11-30,2019-10-04,2019-08-31,2019-03-29,2019-02-28,2018-12-21,2018-11-30,2018-10-05,2018-08-31
payc,0001590955,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-04-30,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
pypl,0001633917,2020-02-06,2019-12-31,2019-02-07,2018-12-31,2020-05-07,2020-03-31,2019-10-24,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-23,2018-09-30,2018-07-26,2018-06-30
pnr,0000077360,2020-02-25,2019-12-31,,,2020-04-30,2020-03-31,2019-10-23,2019-09-30,2019-07-23,2019-06-30,2019-04-23,2019-03-31,2018-10-23,2018-09-30,2018-07-25,2018-06-30
pbct,0001378946,2020-03-02,2019-12-31,2019-03-01,2018-12-31,2020-05-11,2020-03-31,2019-11-12,2019-09-30,2019-08-09,2019-06-30,2019-05-10,2019-03-31,2018-11-09,2018-09-30,2018-08-09,2018-06-30
pep,0000077476,2020-02-13,2019-12-28,2019-02-15,2018-12-29,2020-04-28,2020-03-21,2019-10-03,2019-09-07,2019-07-09,2019-06-15,2019-04-17,2019-03-23,2018-10-02,2018-09-08,2018-07-10,2018-06-16
pki,0000031791,2020-02-25,2019-12-29,2019-02-26,2018-12-30,2020-05-12,2020-04-05,2019-11-05,2019-09-29,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-07,2018-07-01
prgo,0001585364,2020-02-27,2019-12-31,2019-02-27,2018-12-31,2020-05-05,2020-03-28,2019-11-06,2019-09-28,2019-08-08,2019-06-29,2019-05-09,2019-03-30,2018-11-08,2018-09-29,2018-08-09,2018-06-30
pfe,0000078003,2020-02-27,2019-12-31,2019-02-28,2018-12-31,2020-05-07,2020-03-29,2019-11-07,2019-09-29,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2018-11-08,2018-09-30,2018-08-09,2018-07-01
pm,0001413329,2020-02-07,2019-12-31,2019-02-07,2018-12-31,2020-04-28,2020-03-31,2019-10-24,2019-09-30,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
psx,0001534701,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-01,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-30,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
pnw,0000764622,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-08,2020-03-31,2019-11-07,2019-09-30,2019-08-08,2019-06-30,2019-05-01,2019-03-31,2018-11-08,2018-09-30,2018-08-03,2018-06-30
pxd,0001038357,2020-02-24,2019-12-31,2019-02-26,2018-12-31,2020-05-08,2020-03-31,2019-11-06,2019-09-30,2019-08-09,2019-06-30,2019-05-10,2019-03-31,2018-11-09,2018-09-30,2018-08-09,2018-06-30
pnc,0000713676,2020-03-02,2019-12-31,2019-03-01,2018-12-31,2020-05-05,2020-03-31,2019-11-04,2019-09-30,2019-08-01,2019-06-30,2019-05-03,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
ppg,0000079879,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-04-28,2020-03-31,2019-10-18,2019-09-30,2019-07-19,2019-06-30,2019-04-19,2019-03-31,2018-10-19,2018-09-30,2018-07-20,2018-06-30
ppl,0000922224,2020-02-14,2019-12-31,2019-02-14,2018-12-31,2020-05-08,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-02,2019-03-31,2018-11-01,2018-09-30,2018-08-07,2018-06-30
pfg,0001126328,2020-02-14,2019-12-31,2019-02-13,2018-12-31,2020-04-29,2020-03-31,2019-10-30,2019-09-30,2019-07-31,2019-06-30,2019-05-02,2019-03-31,2018-10-31,2018-09-30,2018-08-01,2018-06-30
pg,0000080424,2019-08-06,2019-06-30,2018-08-07,2018-06-30,2020-04-20,2020-03-31,2020-01-23,2019-12-31,2019-10-22,2019-09-30,2019-04-23,2019-03-31,2019-01-23,2018-12-31,2018-10-19,2018-09-30
pgr,0000080661,2020-03-02,2019-12-31,2019-02-27,2018-12-31,2020-05-05,2020-03-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-05-01,2019-03-31,2018-10-31,2018-09-30,2018-07-31,2018-06-30
pld,0001045609,2020-02-11,2019-12-31,2019-02-13,2018-12-31,2020-05-01,2020-03-31,2019-10-21,2019-09-30,2019-07-22,2019-06-30,2019-04-23,2019-03-31,2018-10-22,2018-09-30,2018-07-23,2018-06-30
pru,0001137774,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-08,2020-03-31,2019-11-05,2019-09-30,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2018-11-08,2018-09-30,2018-08-03,2018-06-30
peg,0000788784,2020-02-26,2019-12-31,2019-02-28,2018-12-31,2020-05-05,2020-03-31,2019-10-31,2019-09-30,2019-07-31,2019-06-30,2019-05-02,2019-03-31,2018-10-30,2018-09-30,2018-08-01,2018-06-30
psa,0001393311,2020-02-25,2019-12-31,2019-02-27,2018-12-31,2020-04-30,2020-03-31,,,,,,,,,,
phm,0000822416,2020-01-30,2019-12-31,2019-01-31,2018-12-31,2020-04-23,2020-03-31,2019-10-22,2019-09-30,2019-07-23,2019-06-30,2019-04-23,2019-03-31,2018-10-23,2018-09-30,2018-07-26,2018-06-30
pvh,0000078239,2020-04-01,2020-02-02,2019-03-29,2019-02-03,2020-06-11,2020-05-03,2019-12-09,2019-11-03,2019-09-06,2019-08-04,2019-06-10,2019-05-05,2018-12-10,2018-11-04,2018-09-07,2018-08-05
qrvo,0001604778,2020-05-20,2020-03-28,2019-05-17,2019-03-30,2020-01-30,2019-12-28,2019-11-01,2019-09-28,2019-08-06,2019-06-29,2019-02-07,2018-12-29,2018-11-01,2018-09-29,2018-08-02,2018-06-30
pwr,0001050915,2020-02-28,2019-12-31,2019-02-28,2018-12-31,2020-05-08,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-06,2019-03-31,2018-11-07,2018-09-30,2018-08-07,2018-06-30
qcom,0000804328,2019-11-06,2019-09-29,2018-11-07,2018-09-30,2020-04-29,2020-03-29,2020-02-05,2019-12-29,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2019-01-30,2018-12-30,2018-07-25,2018-06-24
dgx,0001022079,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-04,2020-03-31,2019-10-23,2019-09-30,2019-07-24,2019-06-30,2019-04-24,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
rl,0001037038,2020-05-27,2020-03-28,2019-05-16,2019-03-30,2020-02-06,2019-12-28,2019-11-07,2019-09-28,2019-08-01,2019-06-29,2019-02-07,2018-12-29,2018-11-08,2018-09-29,2018-08-03,2018-06-30
rjf,0000720005,2019-11-26,2019-09-30,2018-11-21,2018-09-30,2020-05-08,2020-03-31,2020-02-07,2019-12-31,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2019-02-08,2018-12-31,2018-08-07,2018-06-30
rtx,0000101829,2020-02-06,2019-12-31,2019-02-07,2018-12-31,2020-05-07,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
o,0000726728,2020-02-24,2019-12-31,2019-02-22,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-02,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
reg,0000910606,2020-02-18,2019-12-31,2019-02-21,2018-12-31,2020-05-08,2020-03-31,2019-11-04,2019-09-30,2019-08-06,2019-06-30,2019-05-10,2019-03-31,2018-11-05,2018-09-30,2018-08-03,2018-06-30
regn,0000872589,2020-02-07,2019-12-31,2019-02-07,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-07,2019-03-31,2018-11-06,2018-09-30,2018-08-02,2018-06-30
rf,0001281761,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-05-06,2020-03-31,2019-11-06,2019-09-30,2019-08-07,2019-06-30,2019-05-08,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
rsg,0001060391,2020-02-14,2019-12-31,2019-02-08,2018-12-31,2020-05-06,2020-03-31,2019-10-31,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
rmd,0000943819,2019-08-08,2019-06-30,2018-08-17,2018-06-30,2020-05-01,2020-03-31,2020-01-31,2019-12-31,2019-10-25,2019-09-30,2019-05-03,2019-03-31,2019-02-01,2018-12-31,2018-10-26,2018-09-30
